sofifa_id,player_url,short_name,long_name,age,dob,height_cm,weight_kg,nationality,club,overall,potential,value_eur,wage_eur,player_positions,preferred_foot,international_reputation,weak_foot,skill_moves,work_rate,body_type,real_face,release_clause_eur,player_tags,team_position,team_jersey_number,loaned_from,joined,contract_valid_until,nation_position,nation_jersey_number,pace,shooting,passing,dribbling,defending,physic,gk_diving,gk_handling,gk_kicking,gk_reflexes,gk_speed,gk_positioning,player_traits,attacking_crossing,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,attacking_volleys,skill_dribbling,skill_curve,skill_fk_accuracy,skill_long_passing,skill_ball_control,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,movement_balance,power_shot_power,power_jumping,power_stamina,power_strength,power_long_shots,mentality_aggression,mentality_interceptions,mentality_positioning,mentality_vision,mentality_penalties,mentality_composure,defending_marking,defending_standing_tackle,defending_sliding_tackle,goalkeeping_diving,goalkeeping_handling,goalkeeping_kicking,goalkeeping_positioning,goalkeeping_reflexes,ls,st,rs,lw,lf,cf,rf,rw,lam,cam,ram,lm,lcm,cm,rcm,rm,lwb,ldm,cdm,rdm,rwb,lb,lcb,cb,rcb,rb
219836,https://sofifa.com/player/219836/ruben-yanez-alabart/17/158492,Rubén Yáñez,Rubén Yáñez Alabart,22,1993-10-12,190,81,Spain,Real Madrid,65,73,675000,5000,GK,Right,1,2,1,Medium/Medium,Lean,No,,,RES,31.0,,2014-06-30,2017.0,,,,,,,,,66.0,64.0,60.0,69.0,43.0,56.0,,15,13,20,27,19,16,20,15,22,14,44,43,51,66,28,25,61,38,68,17,20,19,18,30-7,25,32,20,14,13,66-1,64,60,56,69-3,,,,,,,,,,,,,,,,,,,,,,,,,,
231856,https://sofifa.com/player/231856/alvaro-tejero-sacristan/17/158492,Álvaro Tejero,Álvaro Tejero Sacristán,19,1996-07-20,172,65,Spain,Real Madrid,62,75,425000,3000,"LB, RB",Left,1,3,2,Medium/Medium,Normal,No,,,RES,35.0,,2015-01-01,2018.0,,,77.0,46.0,45.0,56.0,57.0,62.0,,,,,,,,55,27,45,48,20,47,60,68,25,59,78-3,77-2,80-2,56,83-2,75,83,75-2,53+1,64,65,58,45,36,58,38,55,61,62,13,7,10,9,7,51+1,51+1,51+1,53+1,52+1,52+1,52+1,53+1,50+1,50+1,50+1,53+1,49+1,49+1,49+1,53+1,61+1,54+1,54+1,54+1,61+1,61+1,58+1,58+1,58+1,61+1
235522,https://sofifa.com/player/235522/aleix-febas-perez/17/158492,Aleix Febas,Aleix Febas Pérez,20,1996-02-22,171,64,Spain,Real Madrid,67,82,1600000,6000,CM,Right,1,3,3,Medium/Medium,Normal,No,,,RES,36.0,,2015-01-01,2017.0,,,66.0,60.0,69.0,67.0,49.0,58.0,,,,,,,,61,55,36,73,57,63,73,62,71,70,68,64,76,62,84,67,57,58,59,64,57,61,63,68,59,58,37,56,51,6,10,6,9,7,61+1,61+1,61+1,65+1,65+1,65+1,65+1,65+1,67+1,67+1,67+1,66+1,67+1,67+1,67+1,66+1,61+1,62+1,62+1,62+1,61+1,58+1,54+1,54+1,54+1,58+1
235024,https://sofifa.com/player/235024/sergio-diaz/17/158492,S. Díaz,Sergio Ismael Díaz Velázquez,18,1998-03-05,170,70,Paraguay,Real Madrid,67,81,1400000,4000,"CF, CAM, ST, LW",Right,1,4,3,Medium/Medium,Normal,No,,,RES,27.0,,2016-07-01,2021.0,,,66.0,68.0,64.0,72.0,30.0,36.0,,,,,,,Takes Finesse Free Kicks,62,69,33,61,56,73,72,75,58,71,68,65,71,56,78,70,40,39,36,68,33,22,68,69,57,58,29,32,37,13,6,10,11,14,63+0,63+0,63+0,68+0,67+0,67+0,67+0,68+0,67+0,67+0,67+0,65+0,60+0,60+0,60+0,65+0,49+0,45+0,45+0,45+0,49+0,46+0,37+0,37+0,37+0,46+0
211234,https://sofifa.com/player/211234/enzo-fernandez/17/158492,E. Fernández,Enzo Alan Zidane Fernández,21,1995-03-24,186,75,France,Real Madrid,66,75,950000,5000,"LM, CAM",Right,1,4,3,Medium/Low,Lean,No,,,RES,29.0,,2014-06-30,2017.0,,,64.0,55.0,63.0,76.0,26.0,48.0,,,,,,,"Long Shot Taker (CPU AI Only), Technical Dribbler (CPU AI Only)",59,55,35,64,52,77,79,63,52,79,67+13,62+7,74,53,70-1,47,33-5,50,57,60,26,29,55,71+8,66,42,25,26,16,7,13,6,15,9,58+1,58+1,58+1,66+1,64+1,64+1,64+1,66+1,67+1,67+1,67+1,65+1,61+1,61+1,61+1,65+1,48+1,46+1,46+1,46+1,48+1,44+1,36+1,36+1,36+1,44+1
235212,https://sofifa.com/player/235212/achraf-hakimi/17/158492,A. Hakimi,Achraf Hakimi Mouh,17,1998-11-04,177,65,Morocco,Real Madrid,64,75,525000,2000,RB,Right,1,3,2,High/Medium,Lean,No,,,RES,33.0,,2015-07-01,2020.0,,,68.0,56.0,57.0,65.0,59.0,61.0,,,,,,,,67,53,54,58,37,61,46,55,52,66,67,69,75,61,74,71,64,66,60,56,57,63,53,54,46,62,51,62,67,10,8,14,6,8,60+1,60+1,60+1,62+1,60+1,60+1,60+1,62+1,60+1,60+1,60+1,62+1,59+1,59+1,59+1,62+1,64+1,60+1,60+1,60+1,64+1,64+1,60+1,60+1,60+1,64+1
231366,https://sofifa.com/player/231366/philipp-lienhart/17/158492,P. Lienhart,Philipp Lienhart,19,1996-07-11,185,78,Austria,Real Madrid,65,80,975000,4000,CB,Right,1,3,2,Medium/Medium,Normal,No,,,RES,34.0,,2015-07-01,2019.0,,,59.0,27.0,40.0,39.0,64.0,68.0,,,,,,,,41,24,66,52,21,22,28,40,38,58,61-5,57-4,51,56,58,27,75,67,70+1,34,64,65,23,22,41,47,63,65,61,14,8,11,12,14,42+1,42+1,42+1,41+1,39+1,39+1,39+1,41+1,40+1,40+1,40+1,43+1,45+1,45+1,45+1,43+1,57+1,58+1,58+1,58+1,57+1,60+1,64+1,64+1,64+1,60+1
222540,https://sofifa.com/player/222540/nikos-vergos/17/158492,N. Vergos,Nikos Vergos,20,1996-01-13,183,77,Greece,Real Madrid,65,74,825000,5000,"ST, CF",Right,1,4,2,High/Medium,Lean,No,,,RES,28.0,,2013-07-01,2017.0,,,71.0,64.0,47.0,60.0,30.0,63.0,,,,,,,Target Forward,31+8,66-1,76-3,53,56,57,51+10,35,44+6,63-3,72-2,70-2,68-5,57,60,70-1,69-1,61-10,65,55,60,28,62-4,55,61,59,21,29,22,7,11,8,12,15,65+1,65+1,65+1,59+1,62+1,62+1,62+1,59+1,59+1,59+1,59+1,57+1,54+1,54+1,54+1,57+1,44+1,44+1,44+1,44+1,44+1,44+1,44+1,44+1,44+1,44+1
222665,https://sofifa.com/player/222665/martin-odegaard/17/158492,M. Ødegaard,Martin Ødegaard,17,1998-12-17,175,66,Norway,Real Madrid,70,83,2200000,10000,"CAM, RM, CM",Left,1,4,4,High/Medium,Lean,No,,,RES,26.0,,2015-04-29,2020.0,SUB,11.0,69.0,51.0,64.0,79.0,32.0,35.0,,,,,,,"Flair, Playmaker (CPU AI Only)",52,55,36,71,48,83,58,54,59,76,78-1,62-3,79-2,52,76-1,38,50-2,35-8,34-5,52,32,48,61,70,59,55,18,31,42,14,15,15,8,10,57+1,57+1,57+1,68+1,66+1,66+1,66+1,68+1,69+1,69+1,69+1,66+1,63+1,63+1,63+1,66+1,52+1,50+1,50+1,50+1,52+1,49+1,40+1,40+1,40+1,49+1
20801,https://sofifa.com/player/20801/c-ronaldo-dos-santos-aveiro/17/158492,Cristiano Ronaldo,Cristiano Ronaldo dos Santos Aveiro,31,1985-02-05,185,80,Portugal,Real Madrid,94,94,87000000,340000,"LW, LM, ST",Right,5,4,5,High/Low,C. Ronaldo,Yes,,"#Speedster, #Dribbler, #Distance Shooter, #Acrobat, #Clinical Finisher, #Complete Forward",LW,7.0,,2009-07-01,2018.0,LS,7.0,92.0,92.0,81.0,91.0,33.0,80.0,,,,,,,"Power Free-Kick, Flair, Long Shot Taker (CPU AI Only), Speed Dribbler (CPU AI Only)",84+2,93-2,87+1,82+1,88+1,93,81-7,77,72,92+1,91,92-1,90,96+4,63+1,94,95+1,92+2,80+1,92-1,63+1,29,94+1,85+4,85,86,22,31,23,7,11,15,14,11,92+3,92+3,92+3,91+3,92+3,92+3,92+3,91+3,90+3,90+3,90+3,90+3,82+3,82+3,82+3,90+3,66+3,61+3,61+3,61+3,66+3,62+3,53+3,53+3,53+3,62+3
